id;skill;cluster;Label
4; management mba in december. he will be looking for an opportunity starting january 2015. work experience data scientist intern high 5 games - new york, ny august 2014 to december 2014 full stack development of a tool for the marketing department to analyze and predict the marketing campaigns of competitors;15;1
41; used one vs rest classifier to fit each classifier against all other classifiers and used it on multiclass classification problems.;9;0
17; handled importing data from various data sources, performed transformations using hive, map reduce, and loaded data into hdfs.;11;1
15; developed entire frontend and backend modules using python on django web framework.;22;1
24; communicated and coordinated with other departments to gather business requirements.;16;1
19; excellent understanding agile and scrum development methodology;22;1
43; experience in working with relational databases (teradata, oracle) with advanced sql programming skills ;1;1
38; developed clustering algorithms and support vector machines that improved customer segmentation and market expansion.;25;1
53; successfully developed odoo modules in python for hr security access. this enhanced the security authentication of employees in odoo erp which resulted in significant time savings of one hour per day. python developer softtech systems january 2017 to may 2017 ;22;0
15; developed linuxshell scripts by using nzsql/nzload utilities to load data from flat files to netezza database.;9;0
29; passionate about cleaning insightful information from massive data assets and developing a culture of sound, data-driven decision making;13;1
29; worked on developing custom mapreduce programs and user defined functions (udfs) in hive to transform the large volumes of data with respect to business requirement.;8;1
23; performed troubleshooting, fixed and deployed many python bug fixes of the applications and involved in fine tuning of existing processes followed advance patterns and methodologies.;22;1
12; mitigated risk factors through careful analysis of financial and statistical data. transformed and processed raw data for further analysis, visualization, and modeling.;19;1
16; performed data collection, data cleaning, feature scaling, feature engineering, validation, visualization, report findings, develop strategic uses of data by python libraries like numpy, pandas, scipy, matplotlib, scikit-learn.;13;1
46; used the version control tools like git 2.x and build tools like apache maven/ant;22;1
20; develope consumer based features and applications using python, django, html, behavior driven development (bdd) and pair based programming.;22;1
35; present all findings to jpm chase financial/credit card digital marketing/e-commerce team. senior sas machine learning data scientist / mobility data analyst / software developer at&t labs 2011 to 2012 ;13;1
28; - conduct research and analytics on ibm's current products;25;1
11; data collection, data cleaning, developing models, validation, visualization;29;1
58; used r and spark to implement different machinelearningalgorithms, including generalizedlinearmodel, randomforest, svm, boosting and neuralnetwork.;6;1
31; determined customer satisfaction and helped enhance customer experience using nlp.;25;1
48; apply machine learning and deep learning algorithms to match members/claims, using jellyfish, difflib, pandas, pyspark, and scikit_learn;6;1
64; built an online management system on asp.net framework for arcedu campus.;22;0
43; generated dashboards and presented the analysis to researchers explaining insights on the data.;14;1
18; worked on etl tools such as apache airflow;22;0
43; explored different regression and ensemble models in machine learning to perform forecasting.;19;1
56; + worked on development of sql and stored procedures on mysql;1;1
20; building, publishing customized interactive reports and dashboards, report scheduling using tableau server;14;1
38; main source of business regression report.;25;1
37; environment: python, html5, css3, ajax, json, jquery, mysql, numpy, sql alchemy, matplotlib, hadoop, pig scripts. python developer citi bank - irving, tx july 2013 to february 2015 description:the project was to build an algorithm that accurately classifies credit card holders among multiple classes based on the historical data available on multiple variables. further, the aim was to improve bank's efficiency by reducing default rate while offering new products. moreover, i was involved in a project to identify the employees' access level, based on his/her current & historical tasks and duties..;6;0
7; model creation: created machine learning model for predictive maintenance for electricity utilization;19;1
35; utilize cobol and sas programming for corporate tax technology department data warehouse extraction, transformation and loading (etl) of tax audit data.;29;1
25; in depth understanding and experience in nlp and deep learning.;24;1
39; writing unit, functional, and integration test cases for cloud computing applications on aws.;27;1
58; development methodologies agile/scrum, waterfall, uml, design patterns;22;1
43; documenting new data to help source to target mapping. also updating the documentation for existing data assisting with data profiling to maintain data sanitation, validation ;29;1
66; data migration testing and implementation activities using ssis and ssrs tools of microsoft sql server 2008.;29;1
53; building machine learning models from development through testing and validation to a significant number of employees in production;6;1
37; expertise in designing complex mappings and have expertise in performance tuning and slowly-changing dimension tables and fact tables;10;1
12; prepared data mapping documents, use cases, requirements traceability matrix and worked with the user experience team (wireframe preparing team);13;1
32; mentored junior-level developers, assisting them with troubleshooting and understanding company/departmental standards.;16;1
60; project: jetson tx1 (04/17-09/17);9;0
37; used pig for analysis of large datasets and brought data back to hbaseby pig;8;1
32; implemented the persistence layer using hibernate-orm;9;0
